date,ticker,var95,var99,daily_return,breach95,breach99
2021-09-23,AAPL,,,0.0067193956973772,False,False
2021-09-23,MSFT,,,0.0032819494590219,False,False
2021-09-23,NVDA,,,0.0246568615723554,False,False
2021-09-23,GOOGL,,,0.0066474440040851,False,False
2021-09-23,AMZN,,,0.0106359407960527,False,False
2021-09-23,META,,,0.0080126661491741,False,False
2021-09-23,TSLA,,,0.0022608146164888,False,False
2021-09-23,AMD,,,0.0169573128859512,False,False
2021-09-23,NFLX,,,0.0044188875473205,False,False
2021-09-23,CRM,,,0.0721148420232784,False,False
2021-09-23,ORCL,,,0.0110808766403138,False,False
2021-09-23,ADBE,,,0.0076028776445391,False,False
2021-09-23,AVGO,,,0.0074114686669004,False,False
2021-09-23,QCOM,,,0.0067664858633951,False,False
2021-09-23,INTC,,,0.009906476507651,False,False
2021-09-23,BTC-USD,,,0.0303064775724482,False,False
2021-09-23,ETH-USD,,,0.0252303749670717,False,False
2021-09-23,SOL-USD,,,0.0123665668010815,False,False
2021-09-24,AAPL,,,0.0006127435311926,False,False
2021-09-24,MSFT,,,-0.0007009060827247,False,False
2021-09-24,NVDA,,,-0.0178363631529758,False,False
2021-09-24,GOOGL,,,0.0070744500925388,False,False
2021-09-24,AMZN,,,0.0027868730462519,False,False
2021-09-24,META,,,0.0202334678170228,False,False
2021-09-24,TSLA,,,0.0275330599166629,False,False
2021-09-24,AMD,,,-0.0032972064916624,False,False
2021-09-24,NFLX,,,-0.0014665037289524,False,False
2021-09-24,CRM,,,0.027963959801472,False,False
2021-09-24,ORCL,,,0.0058153639293736,False,False
2021-09-24,ADBE,,,-0.012887585658345,False,False
2021-09-24,AVGO,,,0.0012292008880325,False,False
2021-09-24,QCOM,,,-0.0002240907745486,False,False
2021-09-24,INTC,,,0.0035167472073678,False,False
2021-09-24,BTC-USD,,,-0.0457811156128283,False,False
2021-09-24,ETH-USD,,,-0.0709405204245252,False,False
2021-09-24,SOL-USD,,,-0.0691664671268817,False,False
2021-09-27,AAPL,,,-0.0105499633867427,False,False
2021-09-27,MSFT,,,-0.0173040112342602,False,False
2021-09-27,NVDA,,,-0.019066138610013,False,False
2021-09-27,GOOGL,,,-0.008037388522448,False,False
2021-09-27,AMZN,,,-0.0057568350779313,False,False
2021-09-27,META,,,0.0017567106346243,False,False
2021-09-27,TSLA,,,0.0219140632204373,False,False
2021-09-27,AMD,,,0.0223062433107592,False,False
2021-09-27,NFLX,,,0.0004220450471592,False,False
2021-09-27,CRM,,,-0.020831108043523,False,False
2021-09-27,ORCL,,,0.0122303476975484,False,False
2021-09-27,ADBE,,,-0.0306081432545671,False,False
2021-09-27,AVGO,,,-0.0001384918893521,False,False
2021-09-27,QCOM,,,-0.0029875937192743,False,False
2021-09-27,INTC,,,0.0081149873627501,False,False
2021-09-27,BTC-USD,,,-0.0140995111140937,False,False
2021-09-27,ETH-USD,,,0.0008424301661951,False,False
2021-09-27,SOL-USD,,,-0.0191341778764071,False,False
2021-09-28,AAPL,,,-0.0238010324215848,False,False
2021-09-28,MSFT,,,-0.0362035718983967,False,False
2021-09-28,NVDA,,,-0.0443675589466702,False,False
2021-09-28,GOOGL,,,-0.0371582769791446,False,False
2021-09-28,AMZN,,,-0.0263784679831095,False,False
2021-09-28,META,,,-0.0365690893192386,False,False
2021-09-28,TSLA,,,-0.0174383561231787,False,False
2021-09-28,AMD,,,-0.0613905953607978,False,False
2021-09-28,NFLX,,,-0.0148319657521753,False,False
2021-09-28,CRM,,,-0.0264588207559758,False,False
2021-09-28,ORCL,,,-0.0060414212794972,False,False
2021-09-28,ADBE,,,-0.0412159428088526,False,False
2021-09-28,AVGO,,,-0.0273943203031394,False,False
2021-09-28,QCOM,,,-0.0268206973181215,False,False
2021-09-28,INTC,,,-0.012074610312575,False,False
2021-09-28,BTC-USD,,,-0.0284400787359118,False,False
2021-09-28,ETH-USD,,,-0.0432298158972288,False,False
2021-09-28,SOL-USD,,,-0.0379672911537286,False,False
2021-09-29,AAPL,,,0.0064829628754246,False,False
2021-09-29,MSFT,,,0.0016930915002904,False,False
2021-09-29,NVDA,,,-0.0087925130733101,False,False
2021-09-29,GOOGL,,,-0.0108701137590615,False,False
2021-09-29,AMZN,,,-0.0044753517892663,False,False
2021-09-29,META,,,-0.0030528590322398,False,False
2021-09-29,TSLA,,,0.0048227787753933,False,False
2021-09-29,AMD,,,-0.0115248050397293,False,False
2021-09-29,NFLX,,,0.0260512109646888,False,False
2021-09-29,CRM,,,-0.0065375669664859,False,False
2021-09-29,ORCL,,,0.008398842707064,False,False
2021-09-29,ADBE,,,-0.0018487607998171,False,False
2021-09-29,AVGO,,,-0.0031362970324675,False,False
2021-09-29,QCOM,,,-0.0047727342967939,False,False
2021-09-29,INTC,,,-0.009444456715949,False,False
2021-09-29,BTC-USD,,,0.0129115685022613,False,False
2021-09-29,ETH-USD,,,0.0163312559077397,False,False
2021-09-29,SOL-USD,,,0.028997416948101,False,False
2021-09-30,AAPL,,,-0.0093118607522106,False,False
2021-09-30,MSFT,,,-0.0073238812136604,False,False
2021-09-30,NVDA,,,0.0096991058622193,False,False
2021-09-30,GOOGL,,,-0.0050427677334408,False,False
2021-09-30,AMZN,,,-0.0048710792439015,False,False
2021-09-30,META,,,-0.0006477502427475,False,False
2021-09-30,TSLA,,,-0.0074618094773734,False,False
2021-09-30,AMD,,,0.0254110920830299,False,False
2021-09-30,NFLX,,,0.0188295362747754,False,False
2021-09-30,CRM,,,0.0026617372425801,False,False
2021-09-30,ORCL,,,-0.045150840884873,False,False
2021-09-30,ADBE,,,-0.0034274562265314,False,False
2021-09-30,AVGO,,,-0.009295888012419,False,False
2021-09-30,QCOM,,,-0.0023206365460253,False,False
