ticker,name,asset_class,cagr,ann_vol,sharpe_rf0,var95_current,var99_current,var95_full,var99_full,vol30_current,worst_day,best_day,max_drawdown,dd_peak_date,dd_trough_date,dd_recovery_date
AAPL,Apple Inc.,Equity,0.1607023081346679,0.2806776989867692,0.6707936753959672,0.020101533025177244,0.04334936345767678,0.027404709783801863,0.04808919271241062,0.2927701149492295,-0.0924559750676755,0.1532886062850029,-0.3336053943680458,2024-12-26T00:00:00,2025-04-08T00:00:00,2025-10-20T00:00:00
MSFT,Microsoft Corp.,Equity,0.11552095723019118,0.2820477952446013,0.5277614491048126,0.028107502100781046,0.04070786423272857,0.026979120916385366,0.042051941749543374,0.516201265710077,-0.0999314588900955,0.155067391655117,-0.37148493864282095,2021-11-19T00:00:00,2022-11-03T00:00:00,2023-06-15T00:00:00
NVDA,NVIDIA Corp.,Equity,0.5923127666520087,0.5202954337443989,1.1520737852109015,0.03894094846844255,0.0494144285214384,0.04832163672982632,0.07452302979136606,0.4329906889192658,-0.1696816766234803,0.2436965207365511,-0.663351049801048,2021-11-29T00:00:00,2022-10-14T00:00:00,2023-05-25T00:00:00
GOOGL,Alphabet Inc. (Class A),Equity,0.18478252625514635,0.32155817795436503,0.687806962564497,0.02522294419613269,0.04237981332102356,0.030755286604930758,0.04910242729513658,0.3385958386828949,-0.095093916506183,0.1022435710076419,-0.4432005109767372,2021-11-18T00:00:00,2022-11-03T00:00:00,2024-01-25T00:00:00
AMZN,Amazon.com Inc.,Equity,0.07715642499275432,0.36466603238614403,0.38525966319064653,0.030497132987386762,0.0466009373476238,0.033293012031459054,0.05586114890056564,0.5424252419799315,-0.1404943777492341,0.153205887780321,-0.5572582563532466,2021-11-18T00:00:00,2022-12-28T00:00:00,2024-04-05T00:00:00
META,Meta Platforms Inc.,Equity,0.11848828044307003,0.44975794255490203,0.4761356988061218,0.03469420651919919,0.07956831719899164,0.04023785245228825,0.06779454842256494,0.4516057718759743,-0.2639008292851419,0.2328239064257034,-0.7652169643293377,2021-09-10T00:00:00,2022-11-03T00:00:00,2024-01-19T00:00:00
TSLA,Tesla Inc.,Equity,0.07956122595679438,0.5990250997107529,0.4260303856495612,0.04595522729438065,0.06602916554804551,0.057769429121791206,0.09505559029992888,0.46580744801541357,-0.1542620682219511,0.2268998983962451,-0.736322174421912,2021-11-04T00:00:00,2023-01-03T00:00:00,2024-12-11T00:00:00
AMD,Advanced Micro Devices,Equity,0.37630294084152993,0.5720173706432886,0.8411387201841657,0.057303206333862176,0.07998039840889405,0.05468248380550707,0.08342858281322835,0.6625498765972101,-0.1731444304789821,0.238204800811929,-0.6544994295506881,2021-11-29T00:00:00,2022-10-14T00:00:00,2024-01-18T00:00:00
NFLX,Netflix Inc.,Equity,0.049440178334012375,0.43705991251558235,0.337924067857247,0.0349759405997355,0.06553676976278701,0.035473621840435024,0.06913428790193483,0.344613146343242,-0.3511660755113311,0.1605476397503822,-0.759473182516135,2021-11-17T00:00:00,2022-05-11T00:00:00,2024-08-20T00:00:00
CRM,Salesforce Inc.,Equity,-0.01004291466440388,0.39367999918877583,0.17052431051306566,0.04107570610170733,0.06543727653242255,0.03633530723457627,0.061119888638755275,0.7543360642224334,-0.1973712597488638,0.2258049267441564,-0.58669591449078,2024-12-04T00:00:00,2026-06-22T00:00:00,
ORCL,Oracle Corp.,Equity,0.14137676560663315,0.4362963025559719,0.5146711516420979,0.0575253422206158,0.07752708903569411,0.03998653886307311,0.06498039683167736,0.5467288105295781,-0.1379085213196783,0.3594881385248631,-0.6457812963867174,2025-09-10T00:00:00,2026-07-24T00:00:00,
ADBE,Adobe Inc.,Equity,-0.1745194753881889,0.37895094597017953,-0.3138087634441112,0.043106153817530725,0.06744309572246246,0.0359078207005987,0.07221908527822248,0.49048031067350145,-0.1679317021312774,0.1451148989435331,-0.7190319086624579,2021-11-19T00:00:00,2026-06-25T00:00:00,
AVGO,Broadcom Inc.,Equity,0.5228054089962568,0.4430115952796379,1.1689569079405535,0.04384148270577602,0.06951432352318147,0.0391259089585387,0.06605400999314565,0.41279481391032186,-0.1739682194449484,0.2443264013865549,-0.41149686469034485,2024-12-16T00:00:00,2025-04-04T00:00:00,2025-06-02T00:00:00
QCOM,Qualcomm Inc.,Equity,0.06806551299165053,0.42261226153182213,0.3663681620910974,0.04621935260201774,0.08619244633597384,0.041250982244213356,0.07695453050143627,0.4071312846629553,-0.1145960125319535,0.1518530635939283,-0.4428843194183635,2021-12-15T00:00:00,2022-11-03T00:00:00,2024-05-02T00:00:00
INTC,Intel Corp.,Equity,0.16683951345025783,0.547381922540294,0.5535346989081407,0.061618866615399386,0.09354084069989309,0.05032271285549036,0.08327978277391457,0.6704733930264668,-0.2605851455985698,0.2359988383395475,-0.650368899992982,2022-01-11T00:00:00,2025-04-08T00:00:00,2026-01-21T00:00:00
BTC-USD,Bitcoin,Crypto,0.11056815161220235,0.5258748932988521,0.46260122388005764,0.04160378841130098,0.06729681690687966,0.05052694445023496,0.08215207140310836,0.405681088415086,-0.2268071899980847,0.1986546075612993,-0.7663456370856909,2021-11-08T00:00:00,2022-11-21T00:00:00,2024-03-04T00:00:00
ETH-USD,Ethereum,Crypto,-0.06424075057399048,0.6961100630787318,0.25262760362452924,0.0589172262326434,0.11492395046277788,0.06383495949624811,0.12602760754172165,0.6149209829853353,-0.2765452206616028,0.2802534876478375,-0.7842533679074555,2021-11-08T00:00:00,2022-07-12T00:00:00,2025-08-22T00:00:00
SOL-USD,Solana,Crypto,-0.1150838525310467,0.9214192931852861,0.33178829394356923,0.06532034147533441,0.12271280608538221,0.08388837762821426,0.13718637316247803,0.5296840634431137,-0.4228090368113009,0.3505877733415343,-0.9611546963514395,2021-11-08T00:00:00,2022-12-29T00:00:00,2024-11-21T00:00:00
PORTFOLIO,Equal-Weighted Portfolio,Portfolio,0.21369712201258406,0.3033476839119631,0.7819579616375048,0.02581460648118562,0.04305391647008781,0.029576140109020543,0.05220501860899809,0.20932742659181483,-0.0875406745086123,0.1393562693497937,-0.5327787167892802,2021-11-19T00:00:00,2022-12-28T00:00:00,2023-12-07T00:00:00
