date,port_return,port_index,port_drawdown,port_vol30,port_vol90,port_var95,port_var99,avg_pairwise_corr,avg_corr_equity,avg_corr_cross,avg_corr_crypto,avg_vol30,vol30_dispersion
2021-09-10,-0.011544332844329,98.84556671556707,0.0,,,,,,,,,,
2021-09-13,-0.0035174662107732,98.49788077456036,-0.0035174662107732,,,,,,,,,,
2021-09-14,-0.0014491530626336,98.35514226897298,-0.0049615219264746,,,,,,,,,,
2021-09-15,0.011185919607405,99.4553349833686,0.0,,,,,,,,,,
2021-09-16,-0.0027408379766516,99.18274402426556,-0.0027408379766515,,,,,,,,,,
2021-09-17,-0.0154734479437785,97.648044997685,-0.018171875706676,,,,,,,,,,
2021-09-20,-0.0356708341604914,94.16485777847636,-0.0531945039024495,,,,,,,,,,
2021-09-21,-0.0076052273917357,93.4487126227606,-0.0603951749960166,,,,,,,,,,
2021-09-22,0.0286209033583516,96.123299195699,-0.0335028361045368,,,,,,,,,,
2021-09-23,0.0147987430139907,97.54580319815312,-0.0191998929522967,,,,,,,,,,
2021-09-24,-0.0069742106763335,96.865498216057,-0.026040199530218,,,,,,,,,,
2021-09-27,-0.0044959091272981,96.42999973850716,-0.0304190342867717,,,,,,,,,,
2021-09-28,-0.0304323138353335,93.49541172332376,-0.0599256265241223,,,,,,,,,,
2021-09-29,0.0022907154400754,93.7095831065346,-0.0577721836419818,,,,,,,,,,
2021-09-30,0.0058718499154391,94.25983171417457,-0.0522395633181755,,,,,,,,,,
2021-10-01,0.026377290858667,96.74615071158831,-0.0272402106154819,,,,,,,,,,
2021-10-04,-0.0137611923521159,95.41480832231936,-0.0406265451896059,,,,,,,,,,
2021-10-05,0.0187244769799636,97.2014007042983,-0.0226627790198205,,,,,,,,,,
2021-10-06,0.008206843171567,97.99911735593513,-0.0146419257215009,,,,,,,,,,
2021-10-07,0.0047151476653781,98.4611976653451,-0.0099958168980049,,,,,,,,,,
2021-10-08,-0.0006498630516322,98.39721137096294,-0.0106391840375642,,,,,,,,,,
2021-10-11,-0.004902562468471,97.91481289549344,-0.0154895872416778,,,,,,,,,,
2021-10-12,-0.0013433545072722,97.78327859026156,-0.0168121337421131,,,,,,,,,,
2021-10-13,0.0104016322294532,98.80038429234762,-0.0065853751448377,,,,,,,,,,
2021-10-14,0.0192229977498405,100.69962385728282,0.0,,,,,,,,,,
2021-10-15,0.0160067581770407,102.3114983848853,0.0,,,,,,,,,,
2021-10-18,0.0086505215422791,103.19654620568662,0.0,,,,,,,,,,
2021-10-19,0.0094040983608055,104.16701667670031,0.0,,,,,,,,,,
2021-10-20,0.0090846798545438,105.11334067461108,0.0,,,,,,,,,,
2021-10-21,0.0102436569771982,106.19008568020917,0.0,0.23259489891029297,,,,,,,,0.35855580845305113,0.2584902737341075
2021-10-22,-0.0100048203264214,105.12767295253136,-0.0100048203264214,0.23185127483422727,,,,,,,,0.3689222807734617,0.2514007899541342
2021-10-25,0.0206776869294464,107.30147006146504,0.0,0.23724519464081747,,,,,,,,0.37897505406836923,0.251203793303479
2021-10-26,-0.0034214139482766,106.93434731512616,-0.0034214139482765,0.23763268541223845,,,,,,,,0.3821745719976501,0.25010313763897357
2021-10-27,-0.0072546947014741,106.15857127225352,-0.0106512873361085,0.23805532176930574,,,,,,,,0.3877402005230618,0.2544623590189574
2021-10-28,0.0198549724825583,108.2663467836518,0.0,0.24286880901922323,,,,,,,,0.3923109607375117,0.2572858240640453
