date,avg_vol30,vol30_dispersion,avg_pairwise_corr,port_vol30,vix,regime_id,regime_name,regime_name_smoothed
2024-04-01,0.4350301437375148,0.216385491392415,0.237228204110507,0.2351207818156741,13.65,1.0,Normal,Normal
2024-04-02,0.4365804888033501,0.2242047634758013,0.2394813629069027,0.2370511151919547,14.61,1.0,Normal,Normal
2024-04-03,0.435489416941693,0.2191517462859577,0.2345310342717365,0.2347958583031912,14.33,1.0,Normal,Normal
2024-04-04,0.4425054217799754,0.2176637602001022,0.2377981551874186,0.2393162632240813,16.35,1.0,Normal,Normal
2024-04-05,0.4240110199425555,0.2126871548587385,0.2362397822552807,0.2269934411817388,16.03,1.0,Normal,Normal
2024-04-08,0.4284411944503707,0.2181539097984357,0.2347730027730941,0.2272262805749541,15.19,1.0,Normal,Normal
2024-04-09,0.4239237715277044,0.2153995133796575,0.2345706676564305,0.2246507582313562,14.98,1.0,Normal,Normal
2024-04-10,0.424400451826174,0.2142478164065873,0.2362511256540361,0.225710775951777,15.8,1.0,Normal,Normal
2024-04-11,0.4245533616093195,0.2040461636179333,0.2447032981145535,0.2278373053782764,14.91,0.0,Low,Normal
2024-04-12,0.4285199863067482,0.2147161716764289,0.2562729957221535,0.2412877114455996,17.31,1.0,Normal,Normal
2024-04-15,0.4321509338199536,0.2203785418340045,0.2663670388559445,0.2463473193890565,19.23,1.0,Normal,Normal
2024-04-16,0.4240545502588361,0.214213165460875,0.2659826467101638,0.2451224350967948,18.4,1.0,Normal,Normal
2024-04-17,0.4166607492798191,0.2155948656678479,0.2676848890774461,0.2356225645126487,18.21,1.0,Normal,Normal
2024-04-18,0.4142044786645011,0.2154723162687286,0.2617480277777657,0.2304776992959013,18.0,1.0,Normal,Normal
2024-04-19,0.419718928643294,0.2060759487008679,0.2680765421656365,0.2270264520390554,18.71,1.0,Normal,Normal
2024-04-22,0.4203424888757847,0.2156820309453885,0.2760442379421173,0.2324213627943921,16.94,1.0,Normal,Normal
2024-04-23,0.4190568999255686,0.2133383227769821,0.2869599093290914,0.2359833031030329,15.69,1.0,Normal,Normal
2024-04-24,0.4101459286318147,0.2277981508670847,0.2815541279623755,0.2269413504041258,15.97,1.0,Normal,Normal
2024-04-25,0.4173951550136324,0.2196714628240408,0.2796525113118994,0.2266835016009167,15.37,1.0,Normal,Normal
2024-04-26,0.4301982953707429,0.2092410443961746,0.2729224881185231,0.2290084361322177,15.03,1.0,Normal,Normal
2024-04-29,0.4246406759353099,0.2233046684345023,0.2686804266396621,0.2268201639893806,14.67,1.0,Normal,Normal
