date,port_return,port_index,port_drawdown
2021-09-10,-0.01154433284432906,98.84556671556709,0.0
2021-09-13,-0.0035174662107732074,98.49788077456036,-0.0035174662107732013
2021-09-14,-0.0014491530626336198,98.35514226897298,-0.004961521926474699
2021-09-15,0.011185919607405004,99.4553349833686,0.0
2021-09-16,-0.0027408379766516323,99.18274402426557,-0.002740837976651589
2021-09-17,-0.015473447943778517,97.648044997685,-0.018171875706676
2021-09-20,-0.035670834160491466,94.16485777847637,-0.05319450390244951
2021-09-21,-0.007605227391735753,93.4487126227606,-0.060395174996016654
2021-09-22,0.028620903358351633,96.12329919569899,-0.03350283610453686
2021-09-23,0.014798743013990793,97.54580319815311,-0.019199892952296738
2021-09-24,-0.0069742106763335315,96.865498216057,-0.026040199530218078
2021-09-27,-0.004495909127298105,96.42999973850715,-0.03041903428677173
2021-09-28,-0.03043231383533353,93.49541172332377,-0.059925626524122366
2021-09-29,0.0022907154400754253,93.70958310653461,-0.05777218364198189
2021-09-30,0.005871849915439122,94.25983171417455,-0.052239563318175586
2021-10-01,0.026377290858667007,96.74615071158833,-0.027240210615481986
2021-10-04,-0.013761192352115944,95.41480832231937,-0.040626545189605956
2021-10-05,0.01872447697996367,97.2014007042983,-0.0226627790198205
2021-10-06,0.008206843171567089,97.99911735593513,-0.014641925721500915
2021-10-07,0.00471514766537816,98.4611976653451,-0.009995816898004994
2021-10-08,-0.0006498630516322144,98.39721137096294,-0.010639184037564253
2021-10-11,-0.00490256246847107,97.91481289549343,-0.015489587241677816
2021-10-12,-0.0013433545072722678,97.78327859026155,-0.0168121337421131
2021-10-13,0.010401632229453247,98.80038429234762,-0.006585375144837702
2021-10-14,0.019222997749840556,100.69962385728282,0.0
2021-10-15,0.0160067581770407,102.3114983848853,0.0
2021-10-18,0.008650521542279157,103.19654620568662,0.0
2021-10-19,0.009404098360805592,104.16701667670031,0.0
2021-10-20,0.009084679854543889,105.11334067461107,0.0
2021-10-21,0.01024365697719825,106.19008568020915,0.0
2021-10-22,-0.010004820326421447,105.12767295253136,-0.01000482032642147
