date,ticker,drawdown
2021-09-09,AAPL,0.0
2021-09-09,MSFT,0.0
2021-09-09,NVDA,0.0
2021-09-09,GOOGL,0.0
2021-09-09,AMZN,0.0
2021-09-09,META,0.0
2021-09-09,TSLA,0.0
2021-09-09,AMD,0.0
2021-09-09,NFLX,0.0
2021-09-09,CRM,0.0
2021-09-09,ORCL,0.0
2021-09-09,ADBE,0.0
2021-09-09,AVGO,0.0
2021-09-09,QCOM,0.0
2021-09-09,INTC,0.0
2021-09-09,BTC-USD,0.0
2021-09-09,ETH-USD,0.0
2021-09-09,SOL-USD,0.0
2021-09-10,AAPL,-0.0331015574127459
2021-09-10,MSFT,-0.005180990198993984
2021-09-10,NVDA,0.0
2021-09-10,GOOGL,-0.018566319036687817
2021-09-10,AMZN,-0.004308001431212238
2021-09-10,META,0.0
2021-09-10,TSLA,-0.024627038366134335
2021-09-10,AMD,-0.008949642618752973
2021-09-10,NFLX,0.0
2021-09-10,CRM,-0.01357668181040994
2021-09-10,ORCL,0.0
2021-09-10,ADBE,-0.00414095977618234
2021-09-10,AVGO,0.0
2021-09-10,QCOM,0.0
2021-09-10,INTC,0.0
2021-09-10,BTC-USD,-0.032495484247323514
2021-09-10,ETH-USD,-0.06297426662682348
2021-09-10,SOL-USD,-0.044265421288188334
2021-09-13,AAPL,-0.02933710678706869
2021-09-13,MSFT,-0.0008747306916331299
2021-09-13,NVDA,-0.01450317186650274
2021-09-13,GOOGL,-0.00841922670904005
2021-09-13,AMZN,-0.007746414414777414
2021-09-13,META,-0.005756736523112593
2021-09-13,TSLA,-0.015711483351776634
2021-09-13,AMD,-0.012717837538532506
2021-09-13,NFLX,-0.015750280055808585
2021-09-13,CRM,-0.025427665090060003
2021-09-13,ORCL,-0.008809146266883339
2021-09-13,ADBE,-0.024981816655620603
2021-09-13,AVGO,0.0
2021-09-13,QCOM,0.0
2021-09-13,INTC,0.0
2021-09-13,BTC-USD,-0.030789046735808845
2021-09-13,ETH-USD,-0.04138146944965537
2021-09-13,SOL-USD,-0.10056682558214958
2021-09-14,AAPL,-0.0386185682638962
2021-09-14,MSFT,0.0
2021-09-14,NVDA,-0.01049913522411472
2021-09-14,GOOGL,-0.006942476272566389
2021-09-14,AMZN,-0.009804329460856076
2021-09-14,META,-0.005703894831049938
2021-09-14,TSLA,-0.013737640514032368
2021-09-14,AMD,-0.003956647789994827
2021-09-14,NFLX,-0.035008027353274795
2021-09-14,CRM,-0.024430478406711198
2021-09-14,ORCL,-0.03668611999324378
2021-09-14,ADBE,-0.02519342143434644
2021-09-14,AVGO,0.0
2021-09-14,QCOM,-0.015828574682156815
2021-09-14,INTC,-0.008547022709011975
2021-09-14,BTC-USD,0.0
2021-09-14,ETH-USD,0.0
2021-09-14,SOL-USD,-0.1599450282156062
2021-09-15,AAPL,-0.032712359072986974
2021-09-15,MSFT,0.0
2021-09-15,NVDA,-0.00609497585472174
2021-09-15,GOOGL,0.0
2021-09-15,AMZN,-0.0024022293276761975
2021-09-15,META,-0.01259607737421986
2021-09-15,TSLA,0.0
2021-09-15,AMD,-0.005181375825262902
2021-09-15,NFLX,-0.02647319039857443
2021-09-15,CRM,-0.017565488077338598
2021-09-15,ORCL,-0.021743933940230553
2021-09-15,ADBE,-0.0009067458478096979
2021-09-15,AVGO,0.0
2021-09-15,QCOM,-0.03605037092568908
2021-09-15,INTC,0.0
2021-09-15,BTC-USD,0.0
2021-09-15,ETH-USD,0.0
2021-09-15,SOL-USD,-0.15451149704871248
2021-09-16,AAPL,-0.034270167820333985
2021-09-16,MSFT,0.0
2021-09-16,NVDA,-0.01049913522411472
2021-09-16,GOOGL,-0.0056739942605201765
2021-09-16,AMZN,0.0
2021-09-16,META,-0.014867050709245211
2021-09-16,TSLA,0.0
2021-09-16,AMD,0.0
2021-09-16,NFLX,-0.02041020992175513
2021-09-16,CRM,-0.001457380896022542
2021-09-16,ORCL,-0.027096419918109627
2021-09-16,ADBE,0.0
2021-09-16,AVGO,-0.004688690529573436
2021-09-16,QCOM,-0.034934746971030495
2021-09-16,INTC,-0.0052613462665682675
2021-09-16,BTC-USD,-0.008157286726135138
2021-09-16,ETH-USD,-0.012167179288121388
2021-09-16,SOL-USD,-0.18981157164169427
2021-09-17,AAPL,-0.05198910000955481
2021-09-17,MSFT,-0.01752827268461532
2021-09-17,NVDA,-0.025714270147200846
