ticker,name,asset_class,cagr,ann_vol,sharpe_rf0,var95_current,var99_current,var95_full,var99_full,vol30_current,worst_day,best_day,max_drawdown,dd_peak_date,dd_trough_date,dd_recovery_date
AAPL,Apple Inc.,Equity,0.1606841647192305,0.2806779219432869,0.6707376316011094,0.0201016219896639,0.0433494200520158,0.0274046884535068,0.0480890973173031,0.2927703932451142,-0.0924560499798534,0.1532884145516195,-0.333605176862856,2024-12-26T00:00:00,2025-04-08T00:00:00,2025-10-20T00:00:00
MSFT,Microsoft Corp.,Equity,0.1155551374457752,0.2820471134551845,0.5278707374827675,0.0281075419976874,0.0407078989139903,0.0269790382547346,0.042051815174885,0.5161683253856217,-0.0999315226551993,0.155067391655117,-0.3714850892919998,2021-11-19T00:00:00,2022-11-03T00:00:00,2023-06-15T00:00:00
NVDA,NVIDIA Corp.,Equity,0.5921554683579839,0.5202974828765622,1.1518809949469542,0.0389409484684425,0.0494144285214384,0.0483218030080571,0.0745230268627066,0.4331227540136804,-0.169681587655757,0.2436964902323981,-0.663350933990712,2021-11-29T00:00:00,2022-10-14T00:00:00,2023-05-25T00:00:00
GOOGL,Alphabet Inc. (Class A),Equity,0.1846889106633746,0.3215639304232101,0.6875545936974524,0.0252230431628621,0.0423798133210235,0.0307552899488264,0.0491022987110688,0.3388230102372369,-0.0950940169251882,0.1022436697511506,-0.4432005226551581,2021-11-18T00:00:00,2022-11-03T00:00:00,2024-01-25T00:00:00
AMZN,Amazon.com Inc.,Equity,0.0772679978604609,0.3646607354845376,0.3855440583202938,0.0304971329873867,0.0466009373476238,0.033293012031459,0.0558611489005656,0.542247632791773,-0.1404943777492341,0.153205887780321,-0.5572582563532466,2021-11-18T00:00:00,2022-12-28T00:00:00,2024-04-05T00:00:00
META,Meta Platforms Inc.,Equity,0.1181392968772043,0.449710153230448,0.4754469808425313,0.0346942065191991,0.0795683171989916,0.040237851641331,0.0677947466293389,0.4496312599561172,-0.2639009947551113,0.2328238293033326,-0.765216963092276,2021-09-10T00:00:00,2022-11-03T00:00:00,2024-01-19T00:00:00
TSLA,Tesla Inc.,Equity,0.0795671042800063,0.5990250938313944,0.4260394830824471,0.0459552272943806,0.0660291655480455,0.0577694291217912,0.0950555902999288,0.4658043705785345,-0.1542620682219511,0.2268998983962451,-0.736322174421912,2021-11-04T00:00:00,2023-01-03T00:00:00,2024-12-11T00:00:00
AMD,Advanced Micro Devices,Equity,0.3759542563341105,0.5720054874189805,0.8407008293437062,0.0573032063338621,0.079980398408894,0.054682483805507,0.0834285828132283,0.6621641805322963,-0.1731444304789821,0.238204800811929,-0.6544994295506881,2021-11-29T00:00:00,2022-10-14T00:00:00,2024-01-18T00:00:00
NFLX,Netflix Inc.,Equity,0.0496829412132444,0.4370544558147703,0.3384523139271548,0.0349759405997355,0.065536769762787,0.035473621840435,0.0691342879019348,0.3442774366460031,-0.3511660755113311,0.1605476397503822,-0.759473182516135,2021-11-17T00:00:00,2022-05-11T00:00:00,2024-08-20T00:00:00
CRM,Salesforce Inc.,Equity,-0.0097247927507612,0.3936631215470381,0.17133079726423,0.0410757061017073,0.0654372765324225,0.0363352783742511,0.0611199342882559,0.7537647447187719,-0.1973713859124638,0.2258049267441564,-0.5866958797650842,2024-12-04T00:00:00,2026-06-22T00:00:00,
ORCL,Oracle Corp.,Equity,0.1414186607788516,0.4362957978199276,0.5147554438276349,0.057525375125289,0.0775270890356941,0.0399865660115512,0.0649803737233862,0.5466828310901404,-0.1379085941985761,0.3594881794541393,-0.6457813296858512,2025-09-10T00:00:00,2026-07-24T00:00:00,
ADBE,Adobe Inc.,Equity,-0.1743762830364369,0.3789469788042426,-0.3133585486072993,0.0431061538175307,0.0674430957224624,0.0359078207005987,0.0722190852782224,0.4903222465030147,-0.1679317021312774,0.1451148989435331,-0.7190319086624579,2021-11-19T00:00:00,2026-06-25T00:00:00,
AVGO,Broadcom Inc.,Equity,0.5225027598402199,0.4430178657751666,1.1684971273459406,0.043841482705776,0.0695143235231814,0.039125852189296,0.0660540761604828,0.4130220646981749,-0.1739681672790658,0.2443262088958264,-0.4114968027111675,2024-12-16T00:00:00,2025-04-04T00:00:00,2025-06-02T00:00:00
QCOM,Qualcomm Inc.,Equity,0.0677791937360354,0.4226051767803436,0.3657325028675155,0.0462193982513878,0.0861924748756113,0.0412511171689806,0.0769545831865546,0.4068850913515737,-0.1145960125319535,0.1518530635939283,-0.4428841697735468,2021-12-15T00:00:00,2022-11-03T00:00:00,2024-05-02T00:00:00
INTC,Intel Corp.,Equity,0.1664718742551532,0.5473745482902029,0.5529584970102327,0.0616188666153993,0.093540840699893,0.0503227128554903,0.0832797827739145,0.670347137494862,-0.2605851455985698,0.2359988383395475,-0.650368899992982,2022-01-11T00:00:00,2025-04-08T00:00:00,2026-01-21T00:00:00
BTC-USD,Bitcoin,Crypto,0.1106193540899682,0.5258745272761769,0.4626889341186229,0.0416037884113009,0.0672968169068796,0.0505269444502349,0.0821520714031083,0.4056306786172923,-0.2268071899980847,0.1986546075612993,-0.7663456370856909,2021-11-08T00:00:00,2022-11-21T00:00:00,2024-03-04T00:00:00
ETH-USD,Ethereum,Crypto,-0.0641865520865336,0.6961092884072444,0.2527103638565387,0.0589172262326434,0.1149239504627778,0.0638349594962481,0.1260276075417216,0.6148495128343625,-0.2765452206616028,0.2802534876478375,-0.7842533679074555,2021-11-08T00:00:00,2022-07-12T00:00:00,2025-08-22T00:00:00
SOL-USD,Solana,Crypto,-0.1155357349428333,0.9214254611261063,0.331237289511701,0.0653203414753344,0.1227128060853822,0.0838883776282142,0.137186373162478,0.5305720006417224,-0.4228090368113009,0.3505877733415343,-0.9611546963514396,2021-11-08T00:00:00,2022-12-29T00:00:00,2024-11-21T00:00:00
PORTFOLIO,Equal-Weighted Portfolio,Portfolio,0.2136239409105575,0.3033480530470725,0.7817585848708981,0.0258146160099701,0.0430539122948336,0.0295761110367461,0.0522050264729445,0.2094024225564633,-0.0875406376402135,0.1393562417923936,-0.5327787403566382,2021-11-19T00:00:00,2022-12-28T00:00:00,2023-12-07T00:00:00
