regime_name,n_days,pct_days,n_episodes,avg_episode_days,max_episode_days,avg_port_vol30,avg_pairwise_corr,avg_vix,avg_port_daily_return,worst_port_day
Crisis,123,0.0981644054269752,4,30.75,57,0.5115923332162926,0.5845668525558493,25.50186991869919,0.0008253696612972,-0.0875406652628146
Elevated,171,0.1364724660814046,10,17.1,71,0.3686500443868692,0.5544459853456457,25.46888888888889,-2.82301225229146e-05,-0.0690682624579525
Low,539,0.4301675977653631,11,49.0,159,0.2168045999853686,0.3171982402240396,15.97821892393321,0.0025786310997845,-0.0468649799082059
Normal,331,0.2641660015961692,13,25.46153846153846,52,0.2795743005560437,0.3065188085430363,18.385377643504533,-0.0005563092155858,-0.0596511344334082
