date,AAPL,MSFT,NVDA,GOOGL,AMZN,META,TSLA,AMD,NFLX,CRM,ORCL,ADBE,AVGO,QCOM,INTC,BTC-USD,ETH-USD,SOL-USD
2021-09-09,,,,,,,,,,,,,,,,46391.421875,3427.340087890625,188.19580078125
2021-09-10,145.30104064941406,283.8009948730469,22.404468536376953,139.54811096191406,173.45750427246094,375.3934326171875,245.42333984375,105.19999694824219,59.87200164794922,252.82601928710938,83.83445739746094,658.9400024414062,45.3507194519043,127.98079681396484,49.589927673339844,44883.91015625,3211.505859375,179.865234375
2021-09-11,,,,,,,,,,,,,,,,45201.45703125,3270.278076171875,178.8678741455078
2021-09-12,,,,,,,,,,,,,,,,46063.26953125,3410.134521484375,174.53762817382812
2021-09-13,145.8667755126953,285.0294189453125,22.07953643798828,140.99085998535156,172.85850524902344,373.232421875,247.6666717529297,104.80000305175781,58.92900085449219,249.78851318359375,83.09596252441406,645.1500244140625,45.42445755004883,128.6355743408203,50.6491584777832,44963.07421875,3285.51171875,169.26954650878906
2021-09-14,144.47198486328125,287.7165832519531,22.169240951538086,141.20086669921875,172.5,373.2522888183594,248.163330078125,105.7300033569336,57.7760009765625,250.04409790039062,80.75892639160156,645.010009765625,45.68937683105469,126.59942626953125,50.216251373291016,47092.4921875,3429.169677734375,158.09481811523438
2021-09-15,145.35952758789062,292.5441589355469,22.267915725708008,143.06813049316406,173.7895050048828,370.6650085449219,251.94332885742188,105.5999984741211,58.2869987487793,251.80364990234375,82.0115966796875,661.0800170898438,46.405845642089844,123.9981689453125,50.768890380859375,48176.34765625,3615.28271484375,159.1173858642578
2021-09-16,145.12545776367188,292.9278564453125,22.169240951538086,142.25633239746094,174.41200256347656,369.81243896484375,252.3300018310547,106.22000122070312,58.650001525878906,255.93226623535156,81.5628662109375,665.1099853515625,46.18826675415039,124.14169311523438,50.50178146362305,47783.359375,3571.294921875,152.47406005859375
2021-09-17,142.4627227783203,287.79351806640625,21.828359603881836,139.4728240966797,173.12600708007812,361.5450439453125,253.163330078125,103.87999725341797,58.935001373291016,256.09930419921875,80.75892639160156,654.47998046875,46.065364837646484,119.83621215820312,49.976783752441406,47267.51953125,3398.538818359375,147.5930633544922
2021-09-18,,,,,,,,,,,,,,,,48278.36328125,3432.018310546875,169.18421936035156
2021-09-19,,,,,,,,,,,,,,,,47260.21875,3329.447998046875,152.51669311523438
2021-09-20,139.4195556640625,282.44769287109375,21.043935775756836,137.4119415283203,167.7864990234375,352.6036071777344,243.38999938964844,101.55000305175781,57.542999267578125,253.82862854003906,80.55327606201172,641.2899780273438,45.04756546020508,119.0827407836914,48.797821044921875,42843.80078125,2958.993408203125,132.13446044921875
2021-09-21,139.8974609375,282.9276428222656,21.17650604248047,137.72247314453125,167.18150329589844,354.36810302734375,246.4600067138672,102.81999969482422,57.31399917602539,253.5828857421875,81.25435638427734,645.8900146484375,45.02647399902344,118.17683410644531,48.696502685546875,40693.67578125,2764.43115234375,123.95039367675781
2021-09-22,142.2578887939453,286.5553894042969,21.869224548339844,138.961181640625,169.00250244140625,340.2223205566406,250.64666748046875,104.37999725341797,59.064998626708984,254.76254272460938,82.67530059814453,626.0800170898438,45.906837463378906,119.3070068359375,49.27676773071289,43574.5078125,3077.867919921875,147.92425537109375
2021-09-23,143.21376037597656,287.49591064453125,22.40845489501953,139.88491821289062,170.8000030517578,342.9483642578125,251.2133331298828,106.1500015258789,59.32600021362305,273.1346130371094,83.59142303466797,630.8400268554688,46.2470703125,120.11428833007812,49.76493453979492,44895.09765625,3155.523681640625,149.75357055664062
2021-09-24,143.30152893066406,287.29437255859375,22.00876808166504,140.87449645996094,171.2760009765625,349.8874206542969,258.1300048828125,105.80000305175781,59.23899841308594,280.77252197265625,84.07754516601562,622.7100219726562,46.303932189941406,120.0873794555664,49.939937591552734,42839.75,2931.669189453125,139.39564514160156
2021-09-25,,,,,,,,,,,,,,,,42716.59375,2925.565673828125,136.17892456054688
2021-09-26,,,,,,,,,,,,,,,,43208.5390625,3062.265380859375,135.69937133789062
2021-09-27,141.78968811035156,282.32305908203125,21.589147567749023,139.74227905273438,170.2899932861328,350.5021057128906,263.78668212890625,108.16000366210938,59.263999938964844,274.9237060546875,85.1058349609375,603.6500244140625,46.29751205444336,119.72856140136719,50.3452033996582,42235.73046875,2934.138916015625,136.72842407226562
2021-09-28,138.4149169921875,272.1018371582031,20.63128662109375,134.54969787597656,165.79800415039062,337.6845703125,259.1866760253906,101.5199966430664,58.3849983215332,267.6495056152344,84.5916748046875,578.77001953125,45.02922439575195,116.51738739013672,49.73729705810547,41034.54296875,2807.296630859375,131.53721618652344
2021-09-29,139.312255859375,272.5625,20.449880599975586,133.0870819091797,165.05599975585938,336.65362548828125,260.4366760253906,100.3499984741211,59.90599822998047,265.8998107910156,85.3021240234375,577.7000122070312,44.88800811767578,115.9612808227539,49.26756286621094,41564.36328125,2853.143310546875,135.35145568847656
2021-09-30,138.0150146484375,270.5663757324219,20.648231506347656,132.41600036621094,164.2519989013672,336.43560791015625,258.49334716796875,102.9000015258789,61.034000396728516,266.6075439453125,81.45068359375,575.719970703125,44.47073745727539,115.69218444824219,49.07413864135742,43790.89453125,3001.678955078125,141.0690460205078
2021-10-01,139.13665771484375,277.4571533203125,20.674148559570312,135.25595092773438,164.16299438476562,340.0240783691406,258.40667724609375,102.44999694824219,61.314998626708984,270.57891845703125,83.89056396484375,577.469970703125,44.692657470703125,115.44999694824219,49.608360290527344,48116.94140625,3307.51611328125,161.682373046875
2021-10-02,,,,,,,,,,,,,,,,47711.48828125,3391.6943359375,169.093017578125
2021-10-03,,,,,,,,,,,,,,,,48199.953125,3418.358642578125,172.5891571044922
2021-10-04,135.71316528320312,271.7083740234375,19.667451858520508,132.39962768554688,159.48899841308594,323.3901672363281,260.510009765625,100.33999633789062,60.334999084472656,266.253662109375,83.44184875488281,558.489990234375,43.6472282409668,113.62913513183594,49.2491455078125,49112.90234375,3380.089111328125,166.73191833496094
2021-10-05,137.63461303710938,277.1308898925781,20.38409996032715,134.74081420898438,161.0500030517578,330.0615539550781,260.1966552734375,101.80999755859375,63.48099899291992,267.1481628417969,85.52648162841797,566.7000122070312,44.51566696166992,114.39156341552734,49.691246032714844,51514.8125,3518.5185546875,164.11582946777344
2021-10-06,138.50270080566406,281.3056335449219,20.632287979125977,136.268310546875,163.10049438476562,330.735595703125,260.9166564941406,103.63999938964844,63.90999984741211,270.5886535644531,85.3862533569336,570.3099975585938,44.823795318603516,114.866943359375,49.718875885009766,55361.44921875,3580.56201171875,154.1077423095703
2021-10-07,139.76092529296875,282.97564697265625,21.006059646606445,137.91270446777344,165.1215057373047,326.3540954589844,264.53668212890625,106.44999694824219,63.185001373291016,269.910400390625,86.29305267333984,578.9600219726562,45.295162200927734,114.66963195800781,49.90309143066406,53805.984375,3587.974853515625,154.28118896484375
2021-10-08,139.3805389404297,282.97564697265625,20.76285743713379,138.46788024902344,164.43099975585938,327.1768493652344,261.8299865722656,105.05999755859375,63.26599884033203,267.8461608886719,88.54440307617188,576.8599853515625,45.1970329284668,113.51252746582031,49.56229782104492,53967.84765625,3563.75927734375,158.94920349121094
2021-10-09,,,,,,,,,,,,,,,,54968.22265625,3575.716796875,156.82583618164062
2021-10-10,,,,,,,,,,,,,,,,54771.578125,3425.852783203125,148.0487060546875
2021-10-11,139.29278564453125,282.3805847167969,20.627300262451172,137.6046142578125,162.31500244140625,322.6169128417969,263.9800109863281,104.68000030517578,62.70399856567383,269.0945129394531,89.38867950439453,573.0700073242188,45.150264739990234,112.06838989257812,49.22151184082031,57484.7890625,3545.35400390625,144.85813903808594
2021-10-12,138.02476501464844,281.0848693847656,20.60338020324707,135.16282653808594,162.3665008544922,320.9515686035156,268.5733337402344,105.04000091552734,62.49399948120117,274.2552490234375,89.6513442993164,580.6900024414062,44.50283432006836,110.28340148925781,48.051761627197266,56041.05859375,3492.5732421875,152.73712158203125
2021-10-13,137.43951416015625,284.37677001953125,20.870500564575195,136.28517150878906,164.21400451660156,321.71484375,270.3599853515625,109.16000366210938,62.97600173950195,279.5732421875,90.429931640625,591.1199951171875,44.47806930541992,112.15808868408203,48.13465118408203,57401.09765625,3606.20166015625,148.17604064941406
2021-10-14,140.2193603515625,290.5574035644531,21.67486572265625,139.82052612304688,164.9929962158203,325.6700744628906,272.7733459472656,111.98999786376953,63.380001068115234,285.08782958984375,89.37928009033203,607.510009765625,45.63264465332031,115.40514373779297,49.645198822021484,57321.5234375,3786.01416015625,149.75680541992188
2021-10-15,141.2727508544922,291.9586486816406,21.790483474731445,140.03546142578125,170.4510040283203,321.9329528808594,281.010009765625,112.12000274658203,62.82899856567383,286.6999816894531,89.42620849609375,610.0900268554688,46.15078353881836,116.7864761352539,50.160987854003906,61593.94921875,3862.634765625,162.59620666503906
2021-10-16,,,,,,,,,,,,,,,,60892.1796875,3830.382080078125,157.538818359375
2021-10-17,,,,,,,,,,,,,,,,61553.6171875,3847.1044921875,159.74380493164062
2021-10-18,142.940673828125,294.9146728515625,22.149307250976562,141.4321746826172,172.33700561523438,332.4208068847656,290.03668212890625,116.43000030517578,63.797000885009766,286.7392578125,90.53313446044922,622.8300170898438,46.160865783691406,116.71475219726562,50.17020034790039,62026.078125,3748.76025390625,157.2312774658203
2021-10-19,145.09619140625,295.8168029785156,22.217086791992188,141.8868865966797,172.20750427246094,337.0303649902344,288.0899963378906,116.33000183105469,63.900001525878906,287.3683776855469,91.0490493774414,636.0700073242188,46.80556106567383,118.84953308105469,50.85178756713867,64261.9921875,3877.65087890625,156.01702880859375
2021-10-20,145.58389282226562,295.0298156738281,22.030696868896484,140.4326629638672,170.7530059814453,337.8134460449219,288.6000061035156,116.38999938964844,62.513999938964844,285.15667724609375,90.65505981445312,632.3699951171875,46.7138557434082,118.54459381103516,50.99915313720703,65992.8359375,4155.9921875,175.94686889648438
2021-10-21,145.79847717285156,298.24481201171875,22.617767333984375,140.548583984375,171.75050354003906,338.90386962890625,298.0,119.33000183105469,65.31600189208984,284.8813781738281,90.33612823486328,638.6599731445312,47.15037155151367,119.34288787841797,51.57942581176758,62210.171875,4054.32275390625,190.3184356689453
2021-10-22,145.02792358398438,296.7092590332031,22.65165901184082,136.26980590820312,166.77749633789062,321.7841796875,303.2266540527344,119.81999969482422,66.47799682617188,287.58465576171875,92.16536712646484,643.5800170898438,47.265926361083984,118.06021881103516,45.55567932128906,60692.265625,3970.181884765625,196.43153381347656
2021-10-23,,,,,,,,,,,,,,,,61393.6171875,4171.66357421875,197.703857421875
2021-10-24,,,,,,,,,,,,,,,,60930.8359375,4087.903076171875,202.3619842529297
2021-10-25,144.97915649414062,295.72076416015625,23.09022331237793,136.15142822265625,166.01849365234375,325.8287048339844,341.6199951171875,122.36000061035156,67.16600036621094,288.9215393066406,91.82765197753906,646.969970703125,47.87668228149414,118.33824920654297,45.5096321105957,63039.82421875,4217.876953125,210.1042938232422
2021-10-26,145.64242553710938,297.6210632324219,24.636140823364258,137.99537658691406,168.80349731445312,313.06085205078125,339.4766540527344,122.93000030517578,66.85199737548828,290.09124755859375,90.97401428222656,642.5,48.958797454833984,118.34725952148438,44.46883010864258,60363.79296875,4131.10205078125,199.8072509765625
2021-10-27,145.18399047851562,310.15509033203125,24.371013641357422,144.83924865722656,169.62449645996094,309.5020446777344,345.9533386230469,122.27999877929688,66.29199981689453,290.13055419921875,90.08284759521484,640.0800170898438,47.97205352783203,117.6834716796875,44.109615325927734,58482.38671875,3930.25732421875,183.77459716796875
2021-10-28,148.8123779296875,311.2874755859375,24.859411239624023,144.47421264648438,172.32850646972656,314.1611633300781,359.0133361816406,121.16000366210938,67.40499877929688,293.3056945800781,90.27046203613281,639.280029296875,48.56446838378906,119.91692352294922,44.28462600708008,60622.13671875,4287.31884765625,194.86398315429688
2021-10-29,146.110595703125,318.26470947265625,25.483360290527344,146.65052795410156,168.6215057373047,320.7532653808594,371.3333435058594,120.2300033569336,69.03099822998047,294.5933532714844,89.99842071533203,650.3599853515625,48.757041931152344,119.33392333984375,45.131996154785156,62227.96484375,4414.74658203125,200.18275451660156
2021-10-30,,,,,,,,,,,,,,,,61888.83203125,4325.650390625,195.4160614013672
2021-10-31,,,,,,,,,,,,,,,,61318.95703125,4288.07421875,202.4210205078125
2021-11-01,145.29129028320312,316.1053771972656,25.742515563964844,142.14439392089844,165.90550231933594,327.1075134277344,402.86334228515625,125.2300033569336,68.11699676513672,297.6112060546875,88.53502655029297,640.2000122070312,48.425086975097656,120.92155456542969,45.638580322265625,61004.40625,4324.626953125,203.5450897216797
2021-11-02,146.32516479492188,319.7139892578125,26.314634323120117,144.06166076660156,165.6374969482422,325.2239990234375,390.6666564941406,127.62999725341797,67.77200317382812,297.7979431152344,89.9327621459961,640.4000244140625,49.25225067138672,121.29829406738281,45.92410659790039,63226.40234375,4584.798828125,220.23959350585938
